adview,views,likes,dislikes,comment,Total_Time,category_enc
40,1031602,8523,363,1095,7.616666666666667,5
2,1707,56,2,6,9.5,3
1,2023,25,0,2,2.2666666666666666,2
6,620860,777,161,153,4.366666666666666,7
1,666,1,0,0,0.5166666666666667,3
4,78,0,0,0,0.25,3
40621,43118,15,1,0,3.3333333333333335,3
1,14205,55,16,1,0.9666666666666667,4
1,526015,3064,211,2582,27.833333333333332,5
1,406992,3831,310,7839,11.316666666666666,1
19,607447,377,144,65,12.416666666666666,3
9,429137,2181,76,172,3.8,1
224,1895,59,5,0,4.233333333333333,1
1,59843,68,16,10,143.46666666666667,3
2,211642,1378,65,103,2.8333333333333335,5
1,3700,29,6,3,0.6166666666666667,1
2,2303,4,0,0,0.43333333333333335,6
4794,5886,23,0,4,5.2,3
107,9477,66,0,0,0.36666666666666664,6
53702,115426,83,10,2,3.2666666666666666,6
2,62255,71,10,1,12.683333333333334,3
1,15353,13,6,9,1.6833333333333333,3
1,236589,1730,38,140,5.416666666666667,3
2,94719,192,11,23,0.6833333333333333,3
14,3089826,7493,1148,330,13.3,3
3,2046444,3910,845,247,6.033333333333333,6
3,2103487,13342,734,650,10.983333333333333,1
3,740683,935,68,57,1.6333333333333333,3
1,805979,2036,183,215,2.183333333333333,1
1,229495,372,50,44,142.53333333333333,3
1,2758,2,0,1,2.783333333333333,3
1,24672,313,10,128,11.083333333333334,3
2,2000406,14974,686,1297,8.95,3
4,163161,617,25,51,3.8,4
6,422797,1226,122,117,13.383333333333333,3
1,157479,944,40,52,1.15,1
1,109,0,1,0,7.883333333333333,3
53,3258674,9193,290,823,70.43333333333334,6
2,17128,33,4,4,1.65,5
1,136151,155,13,14,10.483333333333333,3
1,1034,5,0,0,4.35,0
1,513871,743,214,45,11.266666666666667,3
4,178089,1259,24,124,13.716666666666667,4
17,553420,818,167,59,57.61666666666667,3
2,623004,531,182,76,1.25,3
1,172599,162,61,35,92.48333333333333,4
1,793069,2638,163,135,14.433333333333334,6
4,462,1,0,0,0.5166666666666667,3
1,15882,102,1,41,13.433333333333334,3
1,797861,2117,225,170,28.4,3
1,5503,6,2,1,4.1,6
1,19213,78,5,0,2.466666666666667,3
4,165497,215,62,153,38.583333333333336,3
1,212195,561,61,192,10.366666666666667,3
4,805,6,0,0,0.3333333333333333,3
5,89443,84,26,4,11.883333333333333,3
2,56573,228,5,16,2.55,6
61,367301,204,80,4,5.466666666666667,3
1619,1389401,13224,831,522,2.2666666666666666,5
1,7702,23,0,1,2.3333333333333335,6
1,101581,314,11,4,0.7833333333333333,3
182,581,7,0,1,1.4333333333333333,3
5,1515742,14551,514,5752,5.883333333333333,1
36,11991184,48324,5808,5167,44.4,3
3,1275680,4743,932,184,4.583333333333333,3
3,127821,1127,80,466,11.85,5
1,7779,59,0,7,4.35,6
11,415699,251,49,23,1.4833333333333334,3
1,162390,1031,34,33,20.683333333333334,2
7,683587,1172,122,85,19.666666666666668,3
2,38570,55,6,11,11.05,4
2,503532,1872,50,85,4.45,6
1,52039,240,16,145,10.033333333333333,3
16,5863262,10238,2541,611,2.783333333333333,2
3,981761,2414,267,217,4.283333333333333,3
1,31339,142,11,16,2.75,6
1,18222,51,6,30,4.3,3
1,21772,37,3,3,140.03333333333333,3
4,15345,9,8,0,4.433333333333334,3
1,81993,882,21,227,5.983333333333333,3
3,293365,126,36,7,3.65,3
1,1939,36,0,16,6.316666666666666,3
1,23692,178,6,19,4.4,3
2,970875,4982,235,256,5.733333333333333,6
2,11703,217,13,6,5.6,6
1,167645,154,52,81,0.9,3
1,7759,34,4,18,13.266666666666667,3
2,775,7,0,1,8.516666666666667,3
69,3423094,1195,624,26,2.716666666666667,3
5,21512,203,12,61,9.483333333333333,6
1,123061,140,42,20,10.016666666666667,3
2,25680,20,6,1,3.5833333333333335,0
2,635882,1048,126,589,6.95,4
2,578880,1434,205,173,8.466666666666667,3
1,141023,154,44,16,4.583333333333333,3
1,1208415,2082,202,120,2.6833333333333336,3
1,5993,11,2,1,0.6666666666666666,4
6,1908671,675,448,71,1.9166666666666665,3
124,609442,6698,349,724,4.183333333333334,6
1,569870,730,63,69,4.166666666666667,6
11,335120,327,125,28,1.2666666666666666,3
3291,4351,56,1,18,3.216666666666667,3
1,424331,166,80,6,1.6,3
1,845994,4212,251,736,3.066666666666667,4
19,598434,4851,1170,1243,5.766666666666667,6
4,184429,1136,175,625,7.25,1
1,321059,1373,119,544,6.583333333333333,3
1,4609,67,7,60,5.2,6
10,2911207,18658,384,2599,7.483333333333333,1
14,845625,652,197,71,2.1166666666666667,3
1,6487,23,1,0,4.166666666666667,3
1,3793,2,3,0,15.033333333333333,4
8,599143,1682,119,55,9.55,3
2,13259,92,10,8,8.183333333333334,1
1,141,0,0,0,0.5166666666666667,3
37895,63164,60,5,7,3.05,3
4,542073,2043,138,459,1.45,3
1,525236,7064,95,460,12.95,3
2,11909,40,1,2,1.0833333333333333,4
1,279067,1610,203,1823,25.25,3
2,194540,2106,242,254,2.3166666666666664,1
1,57917,461,11,10,14.716666666666667,7
1,118990,195,11,14,1.8666666666666667,4
1,10168,88,2,11,5.433333333333334,3
1,17530,95,5,11,2.4166666666666665,4
372,40222,60,48,11,1.1333333333333333,3
1,236928,281,37,6,2.716666666666667,3
1909,2019,4,0,3,6.416666666666667,3
1,610698,10095,183,646,5.283333333333333,1
2,52837,989,15,53,6.933333333333334,3
1,113011,158,37,24,2.0166666666666666,3
68944,187968,2972,185,564,5.666666666666667,3
3,318644,592,118,76,11.516666666666667,2
4,2704332,3772,192,316,7.633333333333333,6
1,5934,27,0,8,9.083333333333334,3
1,54161,219,6,11,5.15,6
3801,11097,58,3,7,3.783333333333333,6
1,269247,8142,134,744,37.68333333333333,0
2,66892,232,8,125,9.433333333333334,6
20,144107,450,11,36,11.533333333333333,1
1,8413,70,3,1,1.0166666666666666,4
1,2721169,15452,401,564,4.233333333333333,6
1,61779,194,7,33,12.516666666666667,3
2633,3698,8,1,0,3.25,5
1,1717192,6180,176,481,2.6166666666666667,6
1,817940,3692,74,263,5.75,6
1,427942,1244,47,114,3.6166666666666667,3
2,11304,56,3,8,11.616666666666667,3
12,569363,3253,398,923,1.95,3
7,755505,1869,515,214,34.95,6
2,166099,189,54,20,150.98333333333335,3
4853,6423,7,2,0,2.15,3
1,413720,2381,65,489,5.316666666666666,3
1,1350,1,0,0,0.1,4
6,292248,901,42,66,2.9833333333333334,4
27,3475658,3593,1168,210,61.78333333333333,4
2,487233,2645,439,835,2.8833333333333333,5
8,162216,1005,25,37,2.8166666666666664,3
2,2257,2,0,0,8.316666666666666,3
3,849510,8176,1230,2190,1.9833333333333334,3
1,44545,62,17,15,11.683333333333334,3
2,236444,1037,92,61,45.78333333333333,6
1,146078,510,31,29,54.833333333333336,2
1,68763,75,29,1,28.583333333333332,3
2,2353030,26642,276,4564,9.7,1
1,797173,739,379,67,1.5,7
1,539,0,0,0,2.033333333333333,3
7,37147,234,9,4,2.4833333333333334,4
238,1760531,2220,401,151,4.3,3
1,150554,304,39,47,4.4,3
4,11678,25,0,1,10.0,6
3,437404,1081,79,42,30.75,3
7,368,0,1,0,0.35,3
1,343728,488,75,74,112.61666666666667,4
1,11226,34,3,0,2.75,4
2,60994,78,16,12,1.3,3
1,4834,0,0,0,143.63333333333333,3
21614,36728,768,6,14,2.9333333333333336,3
7,650504,1667,94,43,6.2,3
3,770809,582,227,69,10.616666666666667,3
2,35171,383,5,60,6.1,6
5,835520,7128,367,1194,53.833333333333336,4
1,215305,238,53,74,4.2,4
6,1107051,1421,134,47,0.7666666666666667,3
1,92,1,0,0,4.666666666666667,3
22,132515,442,49,146,7.35,3
1,2631,14,1,3,13.433333333333334,6
8,460207,826,94,24,4.6,3
1,66676,277,10,18,17.5,2
2210,2551,0,0,2,1.2666666666666666,1
191,791067,7285,378,799,6.883333333333333,1
1,25886,88,5,6,6.033333333333333,3
1,366630,260,142,13,1.9,4
1,1138910,2919,817,628,1.15,3
1,1517387,4557,237,407,2.8333333333333335,4
9,113411,195,24,34,19.583333333333332,6
3,49113,587,15,131,3.0,3
4,929267,349,104,24,143.03333333333333,4
1,161673,241,12,145,3.066666666666667,3
1,40771,481,13,59,2.6666666666666665,0
2,95077,249,16,86,13.733333333333333,3
1,1188997,2323,244,1278,9.9,7
1,544614,9149,52,474,2.9833333333333334,5
2,555270,971,61,162,10.416666666666666,0
1,127370,106,170,57,5.683333333333334,6
3,769740,1125,301,52,153.13333333333333,3
1,320097,401,87,26,2.066666666666667,4
471,1017837,47134,286,1785,10.9,1
1,259096,722,58,47,5.183333333333334,6
1,37708,112,3,5,1.6,3
11,2287062,2088,545,111,87.76666666666667,4
1,578,0,1,0,6.95,3
12,3383658,20552,1347,4722,9.7,1
1,122309,485,24,44,7.933333333333334,0
5,165692,93,10,8,0.26666666666666666,3
1,35552,103,12,17,16.566666666666666,3
4,210091,5475,222,642,8.4,5
1,80852,487,15,67,2.95,3
1,182838,1271,33,101,23.016666666666666,2
1,174770,47,29,2,1.05,3
2,61745,360,13,33,2.8333333333333335,6
9,173389,190,14,21,1.5333333333333332,3
4,213274,1456,117,161,10.516666666666667,3
8,6437,8,2,1,3.6833333333333336,3
2,451634,4494,452,330,4.55,3
8,451701,736,113,54,75.13333333333333,3
16,64627,111,5,7,2.7,1
92782,994350,10883,269,1625,6.2,1
913,73858,1397,16,117,14.933333333333334,3
1,475,4,1,0,7.816666666666666,4
1,201567,1820,33,58,13.166666666666666,3
1,7359,25,4,1,16.016666666666666,6
1,4918,4,1,0,0.5166666666666667,3
12,2924037,15147,919,1118,54.93333333333333,3
2,1161919,685,230,59,14.583333333333334,3
1,78137,1440,38,300,2.466666666666667,6
4,4159,10,0,2,2.0,3
1,300603,936,117,836,11.283333333333333,4
2,2842181,7122,596,187,3.7666666666666666,6
1,15242,31,17,2,0.8833333333333333,6
2,72040,152,17,17,103.3,4
7,3502308,7062,716,219,0.95,3
1,51841,183,8,24,21.616666666666667,3
1,522447,14577,449,1243,29.2,0
8,21650,37,4,3,2.533333333333333,4
11,197430,482,29,31,11.466666666666667,1
18,522846,2606,28,632,2.5833333333333335,6
3,6711,31,1,6,5.7,6
2,314985,1668,206,1099,11.116666666666667,1
42,201460,340,26,34,3.7666666666666666,3
2,2739797,8869,284,875,41.93333333333333,6
1,658,3,1,1,11.866666666666667,4
4,10911,35,6,3,11.25,6
2,1227231,7101,4607,1901,5.266666666666667,3
8,1663486,3908,532,235,4.583333333333333,7
2,646333,1418,92,38,4.616666666666667,3
1,220033,1025,189,575,4.55,1
